firstname,lastname,parentcustomerid,parentcustomerid!name,parentcustomerid!type,telephone1,emailaddress1,contactid,statuscode,statuscode!name,statecode,statecode!name,ownerid,ownerid!name,ownerid!type,numberofchildren,educationcode,educationcode!name,creditonhold,creditonhold!name,birthdate,aging30,address1_line2,address1_line1,address1_stateorprovince,address1_latitude,address1_county,address1_country,address1_city,transactioncurrencyid,transactioncurrencyid!name,preferredcontactmethodcode,preferredcontactmethodcode!name
Jim,Glynn (sample),d7ce22fe-fa69-e511-80ce-080027111fb1,Coho Winery (sample),account,555-0109,someone_j@example.com,3dcf22fe-fa69-e511-80ce-080027111fb1,1,Active,0,Active,b6d4a607-b766-e511-80cc-080027111fb1,First name Last name,systemuser,,1,Default Value,False,No,3/2/1959 8:00,632.14,,7165 Brock Lane,WA,,,U.S.,Renton,03417366-b766-e511-80cc-080027111fb1,US Dollar,1,Any
Maria,Campbell (sample),cbce22fe-fa69-e511-80ce-080027111fb1,"Fabrikam, Inc. (sample)",account,555-0103,someone_d@example.com,31cf22fe-fa69-e511-80ce-080027111fb1,1,Active,0,Active,b6d4a607-b766-e511-80cc-080027111fb1,First name Last name,systemuser,,1,Default Value,True,No,1/14/1962 8:00,,,3747 Likins Avenue,WA,,,Canada,Monroe,03417366-b766-e511-80cc-080027111fb1,US Dollar,1,Any
Nancy,Anderson (sample),c9ce22fe-fa69-e511-80ce-080027111fb1,Adventure Works (sample),account,555-0102,someone_c@example.com,2fcf22fe-fa69-e511-80ce-080027111fb1,1,Active,0,Active,b6d4a607-b766-e511-80cc-080027111fb1,First name Last name,systemuser,,1,Default Value,False,No,4/22/1960 7:00,,,5086 Nottingham Place,WA,,,U.S.,Duvall,03417366-b766-e511-80cc-080027111fb1,US Dollar,1,Any
Patrick,Sands (sample),d3ce22fe-fa69-e511-80ce-080027111fb1,Alpine Ski House (sample),account,555-0110,someone_k@example.com,3fcf22fe-fa69-e511-80ce-080027111fb1,1,Active,0,Active,b6d4a607-b766-e511-80cc-080027111fb1,First name Last name,systemuser,,1,Default Value,False,No,7/2/1952 7:00,232,,7765 Sunsine Drive,WA,,,U.S.,Seattle,03417366-b766-e511-80cc-080027111fb1,US Dollar,1,Any
Paul,Cannon (sample),d3ce22fe-fa69-e511-80ce-080027111fb1,Alpine Ski House (sample),account,555-0107,someone_h@example.com,39cf22fe-fa69-e511-80ce-080027111fb1,1,Active,0,Active,b6d4a607-b766-e511-80cc-080027111fb1,First name Last name,systemuser,,1,Default Value,True,No,7/5/1966 7:00,,,7723 Firestone Drive,WA,,,U.S.,Redmond,03417366-b766-e511-80cc-080027111fb1,US Dollar,2,Email
Rene,Valdes (sample),d5ce22fe-fa69-e511-80ce-080027111fb1,A. Datum Corporation (sample),account,555-0108,someone_i@example.com,3bcf22fe-fa69-e511-80ce-080027111fb1,1,Active,0,Active,b6d4a607-b766-e511-80cc-080027111fb1,First name Last name,systemuser,,,,False,No,11/22/1984 8:00,,,4948 West Th St,WA,,,U.S.,Seattle,03417366-b766-e511-80cc-080027111fb1,US Dollar,1,Any
Robert,Lyon (sample),d1ce22fe-fa69-e511-80ce-080027111fb1,Contoso Pharmaceuticals (sample),account,555-0106,someone_g@example.com,37cf22fe-fa69-e511-80ce-080027111fb1,1,Active,0,Active,b6d4a607-b766-e511-80cc-080027111fb1,First name Last name,systemuser,,1,Default Value,False,No,3/12/1978 8:00,,,7230 Berrellesa Street,WA,,,U.S.,Snohomish,03417366-b766-e511-80cc-080027111fb1,US Dollar,1,Any
Scott,Konersmann (sample),cfce22fe-fa69-e511-80ce-080027111fb1,City Power & Light (sample),account,555-0105,someone_f@example.com,35cf22fe-fa69-e511-80ce-080027111fb1,1,Active,0,Active,b6d4a607-b766-e511-80cc-080027111fb1,First name Last name,systemuser,,1,Default Value,False,No,6/17/1977 7:00,,,989 Caravelle Ct,WA,,,U.S.,Issaquah,03417366-b766-e511-80cc-080027111fb1,US Dollar,3,Phone
Sidney,Higa (sample),cdce22fe-fa69-e511-80ce-080027111fb1,Blue Yonder Airlines (sample),account,555-0104,someone_e@example.com,33cf22fe-fa69-e511-80ce-080027111fb1,1,Active,0,Active,b6d4a607-b766-e511-80cc-080027111fb1,First name Last name,systemuser,,1,Default Value,False,No,3/7/1966 8:00,,,7691 Benedict Ct.,WA,,,U.S.,Issaquah,03417366-b766-e511-80cc-080027111fb1,US Dollar,1,Any
Susan,Burk (sample),d5ce22fe-fa69-e511-80ce-080027111fb1,A. Datum Corporation (sample),account,555-0111,someone_l@example.com,41cf22fe-fa69-e511-80ce-080027111fb1,1,Active,0,Active,b6d4a607-b766-e511-80cc-080027111fb1,First name Last name,systemuser,,1,Default Value,False,No,1/3/1969 8:00,,,931 Corte De Luna,WA,,,U.S.,Seattle,03417366-b766-e511-80cc-080027111fb1,US Dollar,1,Any
